n_parcel,lat,lon,timestamp
100,-5.166018,-35.621967,2022-01-15 00:00:00
100,-5.166165,-35.62167700000001,2022-01-14 18:00:00
100,-5.166264,-35.621418,2022-01-14 12:00:00
100,-5.166355,-35.621254,2022-01-14 06:00:00
100,-5.166416000000001,-35.621113,2022-01-14 00:00:00
100,-5.166451,-35.621037,2022-01-13 18:00:00
100,-5.166485,-35.620953,2022-01-13 12:00:00
100,-5.166512,-35.620907,2022-01-13 06:00:00
100,-5.166538,-35.620842,2022-01-13 00:00:00
100,-5.166554,-35.620796,2022-01-12 18:00:00
100,-5.166574,-35.62075,2022-01-12 12:00:00
100,-5.166588,-35.62072,2022-01-12 06:00:00
100,-5.166603,-35.62067800000001,2022-01-12 00:00:00
100,-5.166613,-35.620655,2022-01-11 18:00:00
100,-5.166624,-35.620632,2022-01-11 12:00:00
100,-5.166632,-35.620609,2022-01-11 06:00:00
100,-5.166642,-35.620586,2022-01-11 00:00:00
100,-5.166648,-35.620567,2022-01-10 18:00:00
100,-5.166654,-35.620567,2022-01-10 12:00:00
100,-5.166656,-35.620567,2022-01-10 06:00:00
100,-5.166658999999999,-35.620567,2022-01-10 00:00:00
101,-3.2268790000000003,-39.267479,2022-02-10 00:00:00
101,-3.2577130000000003,-39.221672,2022-02-09 18:00:00
101,-3.286059,-39.182808,2022-02-09 12:00:00
101,-3.313446,-39.135956,2022-02-09 06:00:00
101,-3.341906,-39.093163,2022-02-09 00:00:00
101,-3.3660330000000003,-39.045017,2022-02-08 18:00:00
101,-3.398485,-39.007858,2022-02-08 12:00:00
101,-3.427742,-38.96288300000001,2022-02-08 06:00:00
101,-3.454929,-38.93425,2022-02-08 00:00:00
101,-3.482153,-38.893787,2022-02-07 18:00:00
101,-3.509957,-38.847904,2022-02-07 12:00:00
101,-3.526224,-38.80735,2022-02-07 06:00:00
101,-3.550127,-38.769596,2022-02-07 00:00:00
101,-3.575872,-38.71722000000001,2022-02-06 18:00:00
101,-3.610142,-38.662743,2022-02-06 12:00:00
101,-3.633504,-38.610168,2022-02-06 06:00:00
101,-3.662581,-38.559792,2022-02-06 00:00:00
101,-3.696752,-38.498653,2022-02-05 18:00:00
101,-3.748431,-38.440353,2022-02-05 12:00:00
101,-3.790909,-38.392323,2022-02-05 06:00:00
101,-3.839922,-38.340717,2022-02-05 00:00:00
101,-3.88382,-38.285572,2022-02-04 18:00:00
101,-3.930981,-38.233341,2022-02-04 12:00:00
101,-3.972832,-38.177364,2022-02-04 06:00:00
101,-4.011625,-38.1217,2022-02-04 00:00:00
